date,percentile,variable,income
2022-01-01,87,mean,14073
2022-01-01,88,mean,14529
2022-01-01,89,mean,15019
2022-01-01,90,mean,15583
2022-01-01,91,mean,16191
2022-01-01,92,mean,16925
2022-01-01,93,mean,17785
2022-01-01,94,mean,18856
2022-01-01,95,mean,20108
2022-01-01,96,mean,21628
2022-01-01,97,mean,23727
2022-01-01,98,mean,26757
2022-01-01,99,mean,32670
2022-01-01,100,mean,50580
2019-01-01,1,median,1001
2019-01-01,2,median,1244
2019-01-01,3,median,1559
2019-01-01,4,median,1718
2019-01-01,5,median,1856
2019-01-01,6,median,1994
2019-01-01,7,median,2111
2019-01-01,8,median,2222
2019-01-01,9,median,2342
2019-01-01,10,median,2448
2019-01-01,11,median,2520
2019-01-01,12,median,2573
2019-01-01,13,median,2626
2019-01-01,14,median,2681
2019-01-01,15,median,2748
2019-01-01,16,median,2824
2019-01-01,17,median,2902
2019-01-01,18,median,2981
2019-01-01,19,median,3050
2019-01-01,20,median,3130
2019-01-01,21,median,3203
2019-01-01,22,median,3285
2019-01-01,23,median,3360
2019-01-01,24,median,3436
2019-01-01,25,median,3519
2019-01-01,26,median,3596
2019-01-01,27,median,3680
2019-01-01,28,median,3760
2019-01-01,29,median,3845
2019-01-01,30,median,3931
2019-01-01,31,median,4014
2019-01-01,32,median,4091
2019-01-01,33,median,4173
2019-01-01,34,median,4262
2019-01-01,35,median,4342
2019-01-01,36,median,4430
2019-01-01,37,median,4521
2019-01-01,38,median,4614
2019-01-01,39,median,4704
2019-01-01,40,median,4796
2019-01-01,41,median,4896
2019-01-01,42,median,4988
2019-01-01,43,median,5085
2019-01-01,44,median,5184
2019-01-01,45,median,5286
2019-01-01,46,median,5384
2019-01-01,47,median,5498
2019-01-01,48,median,5601
2019-01-01,49,median,5712
2019-01-01,50,median,5823
2019-01-01,51,median,5931
2019-01-01,52,median,6046
2019-01-01,53,median,6166
2019-01-01,54,median,6290
2019-01-01,55,median,6416
2019-01-01,56,median,6536
2019-01-01,57,median,6659
2019-01-01,58,median,6783
2019-01-01,59,median,6909
2019-01-01,60,median,7033
2019-01-01,61,median,7163
2019-01-01,62,median,7293
2019-01-01,63,median,7442
2019-01-01,64,median,7587
2019-01-01,65,median,7746
2019-01-01,66,median,7906
2019-01-01,67,median,8066
2019-01-01,68,median,8229
2019-01-01,69,median,8401
2019-01-01,70,median,8579
2019-01-01,71,median,8761
2019-01-01,72,median,8948
2019-01-01,73,median,9149
2019-01-01,74,median,9353
2019-01-01,75,median,9583
2019-01-01,76,median,9812
2019-01-01,77,median,10046
2019-01-01,78,median,10284
2019-01-01,79,median,10545
2019-01-01,80,median,10809
2019-01-01,81,median,11092
2019-01-01,82,median,11383
2019-01-01,83,median,11712
2019-01-01,84,median,12022
2019-01-01,85,median,12381
2019-01-01,86,median,12778
2019-01-01,87,median,13204
2019-01-01,88,median,13681
