area,center_lat,center_lon,dead,displaced,end_date,id,main_cause,primary_country,severity,start_date
313033996.84765625,43.882229,132.379911,0,1500,1027641600000,DFO_1997_From_20020720_to_20020726,Heavy rain,Russia,1.0,1027123200000
1185506760.6210938,14.669288,121.062794,18,7000,1027814400000,DFO_1998_From_20020720_to_20020728,Tropical cyclone,Philippines,1.0,1027123200000
33386721393.816406,27.696051,85.306497,380,250000,1029369600000,DFO_1999_From_20020721_to_20020815,Monsoonal rain,Nepal,1.0,1027209600000
6344988038.896484,62.233308,-156.215507,0,0,1022803200000,DFO_2007_From_20020427_to_20020531,Snowmelt,USA,1.0,1019865600000
37604763.90234375,-34.013343,18.579803,0,2300,1028332800000,DFO_2009_From_20020728_to_20020803,Heavy rain,South Africa,1.0,1027814400000
141403085.703125,24.46072,116.272368,10,1500,1029110400000,DFO_2019_From_20020805_to_20020812,Heavy rain,China,1.0,1028505600000
6164306120.8515625,26.778129,112.817215,124,270000,1030492800000,DFO_2023_From_20020806_to_20020828,Heavy rain,China,1.0,1028592000000
1454529316.0820312,48.568393,13.029419,55,250000,1030492800000,DFO_2024_From_20020807_to_20020828,Heavy rain,Germany,2.0,1028678400000
54795231.78125,37.523287,55.552555,35,0,1029283200000,DFO_2029_From_20020810_to_20020814,Heavy rain,Iran,1.0,1028937600000
1308149945.96875,22.564405,104.67945,29,80000,1029974400000,DFO_2035_From_20020814_to_20020822,Heavy rain,Vietnam,2.0,1029283200000
56869172290.74219,16.772387,103.52736,65,400000,1038268800000,DFO_2039_From_20020818_to_20021126,Monsoonal rain,Thailand,2.0,1029628800000
5907519278.863281,22.418744,95.753361,0,5000,1031097600000,DFO_2041_From_20020817_to_20020904,Monsoonal rain,Burma,2.0,1029542400000
441203787.48046875,-35.862785,-72.131113,2,8000,1030579200000,DFO_2042_From_20020824_to_20020829,Heavy rain,Chile,1.0,1030147200000
133270891.06640625,35.43766,128.621321,138,70000,1031011200000,DFO_2045_From_20020831_to_20020903,Heavy rain,South Korea,1.0,1030752000000
413497606.46484375,45.934582,133.884674,0,0,1031270400000,DFO_2046_From_20020828_to_20020906,Heavy rain,Russia,1.0,1030492800000
152220979.66015625,21.539107,73.220062,22,5000,1031270400000,DFO_2049_From_20020903_to_20020906,Monsoonal rain,India,1.0,1031011200000
196211207.67578125,44.034528,4.447589,23,2500,1031788800000,DFO_2052_From_20020908_to_20020912,Heavy rain,France,1.0,1031443200000
1263980777.390625,29.65109,-96.029696,0,0,1032393600000,DFO_2056_From_20020906_to_20020919,Heavy rain,USA,1.0,1031270400000
6771185185.488281,18.577824,105.175058,76,200000,1033344000000,DFO_2059_From_20020920_to_20020930,Heavy rain,Vietnam,2.0,1032480000000
463475708.03125,41.397529,19.773795,1,9700,1034035200000,DFO_2060_From_20020921_to_20021008,Heavy rain,Albania,1.0,1032566400000
35523326900.765625,14.974281,100.951102,1,3000,1038787200000,DFO_2061_From_20020917_to_20021202,Monsoonal rain,Thailand,1.0,1032220800000
2197156877.7890625,29.87028,-90.011936,1,2500,1033257600000,DFO_2063_From_20020926_to_20020929,Tropical cyclone,USA,1.0,1032998400000
2664911764.8632812,22.381538,-83.979545,8,317000,1033948800000,DFO_2064_From_20020929_to_20021007,Heavy rain,USA,1.0,1033257600000
1992912627.8085938,34.607325,-89.924261,3,0,1034380800000,DFO_2066_From_20021010_to_20021012,Heavy rain,USA,1.0,1034208000000
24046992756.39453,-31.071974,-60.10113,7,6000,1036195200000,DFO_2070_From_20021012_to_20021102,Heavy rain,Argentina,1.0,1034380800000
18868734199.503906,-31.619618,-57.96164,0,2000,1036972800000,DFO_2073_From_20021012_to_20021111,Heavy rain,Uruguay,1.0,1034380800000
